old_value,new_value
Halmashauri Ya Wilaya Sikonge,Halmashauri
Halmashauri Ya Manispa Tabora,Halmashauri
Halmashauri Ya Wilaya,Halmashauri
Halmashauri Wil,Halmashauri
Gra Na Halmashauri,Halmashauri
Villagers Mpi,Villagers
Snv Ltd,Snv
Snv-swash,Snv
African Development Bank,African
African Relie,African
African Muslim Agency,African
African Development Foundation,African
African Barrick Gold,African
African Realief Committe Of Ku,African
African 2000 Network,African
African Reflections Foundation,African
Concern World Wide,Concern
Oikos E.Afrika,Oikos
Plan International,Plan Int
Plan Internatio,Plan Int
Finwater,Finw
Dwsdp,WSDP
Ces (gmbh),Ces(gmbh)
Rural Water Supply And Sanitat,Rural Water Supply
Rural Water Supply And Sanita,Rural Water Supply
Rural Water Supply,Rural Water Supply
Rural Water Department,Rural Water Supply
Roman Catholic,Roman
Roman Cathoric-same,Roman
Roman Cathoric Same,Roman
Roman Church,Roman
Roman Catholic Rulenge Diocese,Roman
Roman Cathoric -kilomeni,Roman
Roman Ca,Roman
Roman Cathoric,Roman
Roman Cathoric Church,Roman
Private Owned,Private
Private Institutions,Private
Private Co,Private
Private Person,Private
Private Individul,Private
Missionaries,Mission
Missionary,Mission
Neemia Mission,Mission
German Missionary,Mission
Germany Missionary,Mission
Cpps Mission,Mission
Heri Mission,Mission
Rc Church,RC
Rc,RC
Rc Ch,RC
Rc Churc,RC
Rc Mission,RC
Rc Cathoric,RC
Rc Njoro,RC
Rc Mofu,RC
Rc Mi,RC
Rc Missionary,RC
Rc Missi,RC
Rc Msufi,RC
Unicet,Unicef
Oxfam Gb,Oxfam
Dhv Moro,Dhv
Germany Republi,Germany
Germany,Germany
Tcrs Kibondo,Tcrs
Tcrst,Tcrs
Netherland,Netherlands
Ruangwa Lga,Lga
Amrefe,Amref
Kilindi District Co,District Council
Songea District Council,District Council
Sengerema District Council,District Council
Mbozi District Council,District Council
Sangea District Council,District Council
Cdtfdistrict Council,District Council
Mkinga  Distric Cou,District Council
Hhesawa,Hesawa
Nrwssp,Rwssp
Rwssp Shinyanga,Rwssp
Drwssp,Rwssp
Tasafu,Tasaf
Tasaf 1,Tasaf
Tasaf Ii,Tasaf
Kkkt_makwale,Kkkt
Kkkt Church,Kkkt
Kkkt-dioces Ya Pare,Kkkt
Kkkt Dme,Kkkt
Kkkt Ndrumangeni,Kkkt
Kkkt Canal,Kkkt
Kkkt Mareu,Kkkt
Kkkt Usa,Kkkt
Kkkt Leguruki,Kkkt
